"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4714","0","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial_VT.BaseFlattenMaterial_VT","0","0","72","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","72","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","6","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","6","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","64","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","90","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","0","591","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","0","79","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","154","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","0","6","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","0","10","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","68","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","109","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","68","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","68","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","37","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","72","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","23","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","54","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","105","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","121","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","919","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","32","1","0.000000","0","0"
"/Game/WaterPlane/Ocean/Materials/M_OceanWater_1.M_OceanWater_1","0","76","32","2","298.878387","0","312"
"/Game/WaterPlane/Environment/Materials/M_Rock_Basalt.M_Rock_Basalt","0","50","10","1","205.946045","38","1017"
"/Game/MSPresets/MS_Foliage_Material/MasterMaterials/MA_Impostor.MA_Impostor","0","176","9","2","1101.022217","176","2333"
"/Game/MSPresets/MS_Foliage_Material/MasterMaterials/MA_Foliage.MA_Foliage","0","2070","256","23","8534.321289","4140","43829"
"/Game/MSPresets/M_MS_Surface_Material/M_MS_Surface_Material.M_MS_Surface_Material","0","156","22","2","323.118591","0","1045"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","105","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Game/WaterPlane/Environment/Props/Materials/M_Rock.M_Rock","0","38","10","1","126.027061","0","138"
"/Game/WaterPlane/Translucent/Materials/M_TranslucentWater.M_TranslucentWater","0","42","10","1","145.064407","0","168"
"/Game/WaterPlane/Lake/Materials/M_LakeWater_01.M_LakeWater_01","0","38","10","1","143.024048","0","146"
"/Game/Man/Materials/M_MAn_Body.M_Man_Body","0","37","10","1","74.075607","0","123"
"/Game/Man/Materials/M_Man_Cloth_Down_01.M_Man_Cloth_Down_01","0","37","10","1","76.228249","0","160"
"/Game/Man/Materials/M_Man_Cloth_Up_01.M_Man_Cloth_Up_01","0","37","10","1","76.176651","0","143"
"/Game/MSPresets/MS_Foliage_Material/GlobalFoliageActor/Materials/MA_UI_Element.MA_UI_Element","0","41","10","1","78.635010","0","146"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Game/BlackAlder/Materials/Background/M_FloorGrid_Master.M_FloorGrid_Master","0","38","10","1","156.558914","0","122"
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","0","0","6","1","0.000000","0","0"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfArctic.M_WolfArctic","0","37","10","1","89.335976","0","124"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfDark.M_WolfDark","0","37","10","1","91.171074","0","152"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfFurArctic.M_WolfFurArctic","0","60","5","1","76.895195","0","302"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfFurDark.M_WolfFurDark","0","60","5","1","75.822197","0","300"
"/Game/AnimalVarietyPack/Wolf/Materials/M_Wolf.M_Wolf","0","37","1","1","83.954781","0","125"
"/Game/AnimalVarietyPack/Wolf/Materials/M_WolfFur.M_WolfFur","0","60","1","1","78.193573","0","285"
"/Game/AnimalVarietyPack/Pig/Materials/M_PigHair.M_PigHair","0","89","11","1","118.811852","0","544"
"/Game/AnimalVarietyPack/Pig/Materials/M_Pig.M_Pig","0","51","10","1","120.773705","0","224"
"/Game/AnimalVarietyPack/Pig/Materials/M_PigDirty.M_PigDirty","0","37","10","1","95.181732","0","123"
"/Game/AnimalVarietyPack/Pig/Materials/M_PigHairDirty.M_PigHairDirty","0","60","9","1","74.634392","0","322"
"/Game/AnimalVarietyPack/Fox/Materials/M_FoxFur.M_FoxFur","0","60","9","1","81.446945","0","307"
"/Game/AnimalVarietyPack/Fox/Materials/M_Fox.M_Fox","0","37","10","1","80.761711","0","148"
"/Game/AnimalVarietyPack/DeerStagAndDoe/Materials/M_DeerStag.M_DeerStag","0","37","10","1","125.676323","0","148"
"/Game/AnimalVarietyPack/DeerStagAndDoe/Materials/M_DeerStagFur.M_DeerStagFur","0","60","10","1","90.781281","0","296"
"/Game/AnimalVarietyPack/DeerStagAndDoe/Materials/M_DeerDoe.M_DeerDoe","0","37","10","1","83.585938","0","120"
